RunDate,RunTime,PremiseId,Year,RateClass,Strata,RecipeICap
2016-09-29,14:18,2740061010,2015,GS3,GS3,17.1029
2016-09-29,14:18,9337326010,2014,GS1,GS1,0.
2016-09-29,14:18,4400180005,2014,GS1,GS1,0.
2016-09-29,14:18,4400180005,2015,GS1,GS1,1.43533
2016-09-29,14:18,7175015056,2015,GS3,GS3,40.0572
2016-09-29,14:18,4836012012,2015,GS3,GS3,25.4015
2016-09-29,14:18,6397777012,2015,GS3,GS3,11.098
2016-09-29,14:18,7531242008,2015,GS3,GS3,26.7018
2016-09-29,14:18,6033913018,2015,GS3,GS3,33.3759
2016-09-29,14:18,8006009032,2015,GS3,GS3,33.5004
2016-09-29,14:18,9748010030,2015,GS3,GS3,52.4379
2016-09-29,14:18,9872234000,2015,GS3,GS3,9.01881
2016-09-29,14:18,8067296019,2015,GS3,GS3,10.3048
2016-09-29,14:18,1290049009,2015,GS3,GS3,155.542
2016-09-29,14:18,2572122002,2014,GS1,GS1,0.
2016-09-29,14:18,2572122002,2015,GS1,GS1,4.33848
2016-09-29,14:18,4234053166,2014,GS3,GS3,0.
